,Date,ca_mnt,ca_fx,mnt_usd,ca_fx_usd,mnt_usd_000,ca_mnt_000,ca_fx_usd_000,ca_fx_000
42,2007-07,226296.71,272395.18,1165.13,233.7895170495996,1.16513,0.22629670999999998,0.7013685511487988,0.27239518
43,2007-08,241607.85,282438.51,1187.28,237.88702749140896,1.18728,0.24160785,0.7136610824742269,0.28243851000000003
44,2007-09,244103.97,291678,1184.26,246.29557698478374,1.18426,0.24410397,0.7388867309543512,0.291678
45,2007-10,255183.11,316173.07,1177.51,268.5098810201187,1.17751,0.25518311,0.805529643060356,0.31617307
46,2007-11,254019.99,280459.89,1171.82,239.33700568346677,1.1718199999999999,0.25401999,0.7180110170504004,0.28045989
47,2007-12,299886.03,317822.08,1169.97,271.64976879749054,1.16997,0.29988603,0.8149493063924715,0.31782208
48,2008-01,280389.25,250187.04,1171.77,213.51207148160475,1.17177,0.28038925,0.6405362144448142,0.25018704
49,2008-02,298579.27,300758.26,1171.82,256.6590944001639,1.1718199999999999,0.29857927,0.7699772832004916,0.30075826
50,2008-03,316235.54,302405.51,1168.17,258.8711488910005,1.1681700000000002,0.31623554,0.7766134466730015,0.30240551
51,2008-04,304575.59,357755.38,1164.94,307.10197950109017,1.16494,0.30457559,0.9213059385032706,0.35775538
52,2008-05,310594.61,360930.33,1161.37,310.77979455298487,1.1613699999999998,0.31059461,0.9323393836589546,0.36093033
53,2008-06,309108.32,386673.21,1158.12,333.8800901460989,1.1581199999999998,0.30910832,1.0016402704382967,0.38667321000000004
54,2008-07,315866.07,400869.98,1155.35,346.968433807937,1.1553499999999999,0.31586607,1.040905301423811,0.40086997999999996
55,2008-08,309424.13,375848.63,1150.91,326.56648217497457,1.15091,0.30942413,0.9796994465249238,0.37584863
56,2008-09,309384.45,353383.13,1146.1,308.33533723060816,1.1461,0.30938445000000003,0.9250060116918246,0.35338313
57,2008-10,291116.04,324080.36,1144.37,283.195435042862,1.1443699999999999,0.29111603999999996,0.8495863051285861,0.32408036
58,2008-11,279136.61,275357.04,1170.64,235.21923050638964,1.1706400000000001,0.27913661,0.7056576915191689,0.27535704
59,2008-12,304950.55,271595.92,1267.51,214.27516942667117,1.26751,0.30495055,0.6428255082800135,0.27159592
60,2009-01,250277.19,269065.88,1381.66,194.74102166958585,1.38166,0.25027719,0.5842230650087575,0.26906588
61,2009-02,237303.64,303780.9,1470.17,206.6297775087235,1.47017,0.23730364,0.6198893325261705,0.3037809
62,2009-03,232861.89,338300.27,1524.07,221.97160891560102,1.52407,0.23286189000000002,0.6659148267468031,0.33830027
63,2009-04,203434.64,309705.87,1423.86,217.51146180101978,1.42386,0.20343464000000003,0.6525343854030593,0.30970587
64,2009-05,221685.67,314221.95,1428.37,219.98638308001432,1.42837,0.22168567,0.659959149240043,0.31422195
65,2009-06,229497.19,315178.6,1435.49,219.5616827703432,1.43549,0.22949719,0.6586850483110296,0.3151786
66,2009-07,220919.4,353668.23,1455.3,243.0208410636982,1.4553,0.2209194,0.7290625231910945,0.35366823
67,2009-08,266901.55,333768.68,1429.05,233.5598334557923,1.42905,0.26690155,0.7006795003673769,0.33376868
68,2009-09,308809.66,341987.54,1426.01,239.8212775506483,1.42601,0.30880966,0.7194638326519448,0.34198754
69,2009-10,307171.71,344566.55,1423.84,241.99808264973592,1.42384,0.30717171000000004,0.7259942479492077,0.34456654999999997
70,2009-11,317084.55,384679.63,1446.41,265.95476386363475,1.44641,0.31708454999999997,0.7978642915909042,0.38467963
71,2009-12,356539.35,367614.58,1442.84,254.78540933159604,1.44284,0.35653935,0.7643562279947882,0.36761458
72,2010-01,361961.43,389142.46,1455.7,267.3232534175998,1.4557,0.36196143,0.8019697602527995,0.38914246
73,2010-02,363018.21,389730.37,1449.82,268.81293539887713,1.4498199999999999,0.36301821,0.8064388061966314,0.38973037
74,2010-03,390643.31,352862.39,1367.1,258.1101528783557,1.3671,0.39064331,0.7743304586350671,0.35286239
75,2010-04,406393.67,432176.73,1372.46,314.89204056948836,1.37246,0.40639367,0.9446761217084652,0.43217673
76,2010-05,431266.14,441991.27,1384.85,319.1618370220602,1.38485,0.43126614,0.9574855110661806,0.44199127
77,2010-06,483039.63,609035.15,1368.65,444.98969787747046,1.3686500000000001,0.48303963,1.3349690936324112,0.60903515
78,2010-07,473648.91,558851.88,1353.49,412.8969405019616,1.35349,0.47364891,1.2386908215058847,0.55885188
79,2010-08,571364.76,557422.27,1301.8,428.1934782608696,1.3017999999999998,0.57136476,1.2845804347826089,0.55742227
80,2010-09,608739.01,614933.52,1325.59,463.89420559901635,1.3255899999999998,0.60873901,1.391682616797049,0.61493352
